N. Tomba,Bibliografia essenziale
685,Trevisanello 2024
686,"Serra 2022; Serra in Spina 2023, p. 179; Serra 2025, p. 240"
687,Trevisanello 2024
688,Trevisanello 2024
689,Gaucci 2014
690,Trevisanello 2024
691,Gaucci 2014
692,"Hostetter 1986, p. 117, n. 111; Trevisanello 2024"
693,"Massei 1978, pp. 38-39f; Gaucci 2014"
694,Gaucci 2014
695,"Hostetter 1986, p. 113, n. 275; Timossi 2019"
696,Trevisanello 2024
697,"Aurigemma 1965, pp. 75-76, tavv. 90-93; Berti 1991, pp. 23-24; Gaucci 2014"
698,"Serra 2022; Serra in Spina 2023, p. 428; Serra 2025, p. 240"
699,Trevisanello 2024
700,Trevisanello 2024
701,Timossi 2019
702,"Hostetter 1986, pp. 116-117, n. 109; Trevisanello 2024"
